n_acesso,ddat_ano,ddat_mes,ddat_dia,ddat_dia_semana,ddat_semestre,ddat_trimestre,darq_id,acess_id
1,2016,10,11,ter,2,4,17935,17528
10,2016,10,11,ter,2,4,17528,18673
1,2016,10,11,ter,2,4,18673,19034
41,2016,10,11,ter,2,4,19034,18771
192,2016,10,11,ter,2,4,18771,18148
3,2016,10,13,qui,2,4,18148,17640
5,2016,10,13,qui,2,4,17640,17198
1,2016,10,13,qui,2,4,17198,18164
12,2016,10,13,qui,2,4,18164,17520
53,2016,10,13,qui,2,4,17520,18148
3,2016,10,13,qui,2,4,18148,18617
12,2016,10,13,qui,2,4,18617,18771
192,2016,10,13,qui,2,4,18771,18934
1,2016,10,14,sex,2,4,18934,17955
1,2016,10,14,sex,2,4,17955,18617
12,2016,10,14,sex,2,4,18617,19043
2,2016,10,14,sex,2,4,19043,18617
12,2016,10,14,sex,2,4,18617,17724
2,2016,10,14,sex,2,4,17724,18514
4,2016,10,14,sex,2,4,18514,17857
1,2016,10,14,sex,2,4,17857,17520
53,2016,10,14,sex,2,4,17520,17448
10,2016,10,14,sex,2,4,17448,19034
41,2016,10,17,seg,2,4,19034,17727
2,2016,10,17,seg,2,4,17727,17727
2,2016,10,17,seg,2,4,17727,19071
4,2016,10,17,seg,2,4,19071,18771
192,2016,10,17,seg,2,4,18771,17989
31,2016,10,17,seg,2,4,17989,17989
31,2016,10,17,seg,2,4,17989,18514
4,2016,10,17,seg,2,4,18514,17347
64,2016,10,18,ter,2,4,17347,17448
10,2016,10,18,ter,2,4,17448,18402
4,2016,10,18,ter,2,4,18402,19154
53,2016,10,18,ter,2,4,19154,17429
15,2016,10,18,ter,2,4,17429,18125
34,2016,10,18,ter,2,4,18125,17528
10,2016,10,18,ter,2,4,17528,19146
7,2016,10,18,ter,2,4,19146,18148
3,2016,10,18,ter,2,4,18148,17225
4,2016,10,20,qui,2,4,17225,18193
19,2016,10,20,qui,2,4,18193,19072
54,2016,10,20,qui,2,4,19072,18084
44,2016,10,20,qui,2,4,18084,18264
24,2016,10,20,qui,2,4,18264,18771
192,2016,10,20,qui,2,4,18771,18370
9,2016,10,20,qui,2,4,18370,17347
64,2016,10,20,qui,2,4,17347,18953
1,2016,10,20,qui,2,4,18953,18771
192,2016,10,21,sex,2,4,18771,18795
29,2016,10,21,sex,2,4,18795,19072
54,2016,10,21,sex,2,4,19072,18514
4,2016,10,21,sex,2,4,18514,19110
3,2016,10,21,sex,2,4,19110,18771
192,2016,10,21,sex,2,4,18771,17347
64,2016,10,21,sex,2,4,17347,18125
34,2016,10,21,sex,2,4,18125,18264
24,2016,10,21,sex,2,4,18264,18264
24,2016,10,21,sex,2,4,18264,17551
4,2016,10,22,sb,2,4,17551,19138
19,2016,10,22,sb,2,4,19138,18455
10,2016,10,22,sb,2,4,18455,18125
34,2016,10,24,seg,2,4,18125,19000
56,2016,10,24,seg,2,4,19000,18771
192,2016,10,24,seg,2,4,18771,18800
13,2016,10,24,seg,2,4,18800,17528
10,2016,10,24,seg,2,4,17528,19071
4,2016,10,25,ter,2,4,19071,17528
10,2016,10,25,ter,2,4,17528,17641
4,2016,10,25,ter,2,4,17641,18019
16,2016,10,25,ter,2,4,18019,18019
16,2016,10,25,ter,2,4,18019,17757
2,2016,10,25,ter,2,4,17757,18132
3,2016,10,25,ter,2,4,18132,19166
11,2016,10,25,ter,2,4,19166,19154
53,2016,10,25,ter,2,4,19154,19154
53,2016,10,25,ter,2,4,19154,18864
8,2016,10,25,ter,2,4,18864,18023
45,2016,10,25,ter,2,4,18023,18112
1,2016,10,26,qua,2,4,18112,17619
2,2016,10,26,qua,2,4,17619,18844
2,2016,10,26,qua,2,4,18844,17347
64,2016,10,26,qua,2,4,17347,19154
53,2016,10,26,qua,2,4,19154,18771
192,2016,10,26,qua,2,4,18771,17150
82,2016,10,26,qua,2,4,17150,39376
1,2016,10,26,qua,2,4,39376,18455
10,2016,10,26,qua,2,4,18455,18864
8,2016,10,27,qui,2,4,18864,17520
53,2016,10,27,qui,2,4,17520,17520
53,2016,10,27,qui,2,4,17520,18455
10,2016,10,27,qui,2,4,18455,18023
45,2016,10,27,qui,2,4,18023,17347
64,2016,10,28,sex,2,4,17347,17347
64,2016,10,28,sex,2,4,17347,19000
56,2016,10,28,sex,2,4,19000,19154
53,2016,10,28,sex,2,4,19154,17429
15,2016,10,28,sex,2,4,17429,19072
54,2016,10,28,sex,2,4,19072,18771
192,2016,10,28,sex,2,4,18771,19072
54,2016,10,28,sex,2,4,19072,19154
53,2016,10,28,sex,2,4,19154,17797
25,2016,10,28,sex,2,4,17797,18326
3,2016,10,28,sex,2,4,18326,18326
3,2016,10,28,sex,2,4,18326,17797
25,2016,10,29,sb,2,4,17797,18771
192,2016,10,29,sb,2,4,18771,19072
54,2016,10,29,sb,2,4,19072,18066
2,2016,10,29,sb,2,4,18066,18066
2,2016,10,29,sb,2,4,18066,17562
2,2016,10,31,seg,2,4,17562,18084
44,2016,10,31,seg,2,4,18084,19071
4,2016,10,31,seg,2,4,19071,17520
53,2016,10,31,seg,2,4,17520,19072
54,2016,10,31,seg,2,4,19072,18771
192,2016,10,31,seg,2,4,18771,17797
25,2016,10,31,seg,2,4,17797,17347
64,2016,10,31,seg,2,4,17347,19138
19,2016,10,31,seg,2,4,19138,17244
12,2016,10,31,seg,2,4,17244,18999
1,2016,11,1,ter,2,4,18999,17574
17,2016,11,1,ter,2,4,17574,17528
10,2016,11,1,ter,2,4,17528,18771
192,2016,11,1,ter,2,4,18771,19034
41,2016,11,1,ter,2,4,19034,19034
41,2016,11,1,ter,2,4,19034,18805
1,2016,11,1,ter,2,4,18805,17448
10,2016,11,3,qui,2,4,17448,18125
34,2016,11,3,qui,2,4,18125,19154
53,2016,11,3,qui,2,4,19154,19154
53,2016,11,3,qui,2,4,19154,19072
54,2016,11,3,qui,2,4,19072,17150
82,2016,11,3,qui,2,4,17150,18307
3,2016,11,3,qui,2,4,18307,17781
3,2016,11,3,qui,2,4,17781,17448
10,2016,11,3,qui,2,4,17448,17698
1,2016,11,4,sex,2,4,17698,19071
4,2016,11,4,sex,2,4,19071,18593
18,2016,11,4,sex,2,4,18593,17150
82,2016,11,4,sex,2,4,17150,18617
12,2016,11,4,sex,2,4,18617,17150
82,2016,11,4,sex,2,4,17150,18090
7,2016,11,4,sex,2,4,18090,17919
6,2016,11,4,sex,2,4,17919,17347
64,2016,11,5,sb,2,4,17347,17520
53,2016,11,5,sb,2,4,17520,18771
192,2016,11,5,sb,2,4,18771,18125
34,2016,11,5,sb,2,4,18125,18514
4,2016,11,7,seg,2,4,18514,18771
